brand,name,fabric,price,url,image,category,source,description,created_at,updated_at,title,image_url
MORE TO COME,Michelle Maxi Dress,,$98.00,https://www.revolve.com/more-to-come-michelle-maxi-dress-in-ivory/dp/MOTO-WD640/?d=Womens&page=1&lc=95&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=72&itcurrpage=1&itview=05,,Dress,Revolve,MORE TO COME Michelle Maxi Dress,2025-08-20T15:09:01.709490,2025-08-20T15:09:01.709492,MORE TO COME Michelle Maxi Dress,
superdown,Julianna Crochet Short,,$50.00,https://www.revolve.com/superdown-julianna-crochet-short-in-white/dp/SPDW-WF223/?d=Womens&page=1&lc=96&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=72&itcurrpage=1&itview=05,,Bottom,Revolve,superdown Julianna Crochet Short,2025-08-20T15:09:01.709515,2025-08-20T15:09:01.709516,superdown Julianna Crochet Short,
SNDYS,Maia Maxi Dress,,$105.00,https://www.revolve.com/sndys-maia-maxi-dress-in-sand/dp/SDYS-WD170/?d=Womens&page=1&lc=1&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=73&itcurrpage=1&itview=05,,Dress,Revolve,SNDYS Maia Maxi Dress,2025-08-20T15:09:01.709538,2025-08-20T15:09:01.709539,SNDYS Maia Maxi Dress,
superdown,Wilma Capri Set,,$98.00,https://www.revolve.com/superdown-wilma-capri-set-in-black/dp/SPDW-WC247/?d=Womens&page=1&lc=2&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=73&itcurrpage=1&itview=05,,Bottom,Revolve,superdown Wilma Capri Set,2025-08-20T15:09:01.709565,2025-08-20T15:09:01.709566,superdown Wilma Capri Set,
LEVI'S,Baggy Dad Straight Jeans,,$108.00,https://www.revolve.com/levis-baggy-dad-straight-jeans-in-fan-flare/dp/LEIV-WJ358/?d=Womens&page=1&lc=3&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=73&itcurrpage=1&itview=05,,Bottom,Revolve,LEVI'S Baggy Dad Straight Jeans,2025-08-20T15:09:01.709588,2025-08-20T15:09:01.709589,LEVI'S Baggy Dad Straight Jeans,
LIONESS,Dollhouse Knit Short,,$59.00,https://www.revolve.com/lioness-dollhouse-knit-short-in-butter/dp/LIOR-WF20/?d=Womens&page=1&lc=4&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=73&itcurrpage=1&itview=05,,Bottom,Revolve,LIONESS Dollhouse Knit Short,2025-08-20T15:09:01.709612,2025-08-20T15:09:01.709613,LIONESS Dollhouse Knit Short,
LIONESS,Countryside Top,,$59.00,https://www.revolve.com/lioness-countryside-top-in-navy/dp/LIOR-WS92/?d=Womens&page=1&lc=5&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=74&itcurrpage=1&itview=05,,Top,Revolve,LIONESS Countryside Top,2025-08-20T15:09:01.709634,2025-08-20T15:09:01.709635,LIONESS Countryside Top,
superdown,Rosy Maxi Dress,,$88.00,https://www.revolve.com/superdown-rosy-maxi-dress-in-purple/dp/SPDW-WD2850/?d=Womens&page=1&lc=7&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=74&itcurrpage=1&itview=05,,Dress,Revolve,superdown Rosy Maxi Dress,2025-08-20T15:09:01.709679,2025-08-20T15:09:01.709681,superdown Rosy Maxi Dress,
AFRM,Kaylee Top,,$38.00,https://www.revolve.com/afrm-kaylee-top-in-ocean-ombre/dp/AFFM-WS468/?d=Womens&page=1&lc=8&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=74&itcurrpage=1&itview=05,,Top,Revolve,AFRM Kaylee Top,2025-08-20T15:09:01.709703,2025-08-20T15:09:01.709704,AFRM Kaylee Top,
MORE TO COME,Kristen Halter Mini Dress,,$84.00,https://www.revolve.com/more-to-come-kristen-halter-mini-dress-in-chartreuse/dp/MOTO-WD104/?d=Womens&page=1&lc=9&plpSrc=%2Fr%2FBrands.jsp%3Furl%3Dhttps%3A%2F%2Fwww.revolve.com%2Fr%2FBrandsContent.jsp%3FaliasURL%3Dclothing%252Fbr%252F3699fc%26s%3Dc%26c%3DClothing%26navsrc%3Dmain%26sortBy%3Dpopularity%26lazyLoadedPlp%3Dtrue%26sortBy%3Dpopularity%26productsPerRow%3D4%26preLoadCategory%3D%26preLoadDesigner%3D%26lazyLang%3Den%26lazyCountryCode%3DUS%26lazyCurrency%3DUSD%26_%3D1750088230481&itrownum=75&itcurrpage=1&itview=05,,Dress,Revolve,MORE TO COME Kristen Halter Mini Dress,2025-08-20T15:09:01.709727,2025-08-20T15:09:01.709728,MORE TO COME Kristen Halter Mini Dress,
